Voltage, Current, Power
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
440,47.7273,21
